Number of storey,Height,Bays-X,Bays-Y,Bay Width,Fundamental Timeperiod
2,3,2,2,3,0.14065359067516076
2,3,2,2,3.5,0.13833206245809268
2,3,2,2,4,0.13610636871211704
2,3,2,2,4.5,0.1348355128675708
2,3,2,2,5,0.13425631010771003
2,3,2,3,3,0.1455451658609649
2,3,2,3,3.5,0.14333419860641586
2,3,2,3,4,0.14119135801387814
2,3,2,3,4.5,0.14001616550527507
2,3,2,3,5,0.13954251465189368
2,3,2,4,3,0.1484028576284073
2,3,2,4,3.5,0.14625351476702983
2,3,2,4,4,0.1441564210521939
2,3,2,4,4.5,0.14303466676410276
2,3,2,4,5,0.1426203768881165
2,3,3,2,3,0.14554516586096491
2,3,3,2,3.5,0.14333419860641594
2,3,3,2,4,0.1411913580138781
2,3,3,2,4.5,0.14001616550527504
2,3,3,2,5,0.1395425146518937
2,3,3,3,3,0.14384123555711723
2,3,3,3,3.5,0.14144951782353823
2,3,3,3,4,0.1392178397924389
2,3,3,3,4.5,0.1380090238401109
2,3,3,3,5,0.1375301533469919
2,3,3,4,3,0.14660495268290005
2,3,3,4,3.5,0.1442745481123148
2,3,3,4,4,0.14208996652512174
2,3,3,4,4.5,0.14093654560250843
2,3,3,4,5,0.14051919671663277
2,3,4,2,3,0.14840285762840727
2,3,4,2,3.5,0.1462535147670298
2,3,4,2,4,0.1441564210521939
2,3,4,2,4.5,0.14303466676410273
2,3,4,2,5,0.14262037688811652
2,3,4,3,3,0.1466049526829001
2,3,4,3,3.5,0.14427454811231474
2,3,4,3,4,0.14208996652512174
2,3,4,3,4.5,0.1409365456025084
2,3,4,3,5,0.1405191967166328
2,3,4,4,3,0.14565937828819508
2,3,4,4,3.5,0.14324157444007762
2,3,4,4,4,0.14101733487232562
2,3,4,4,4.5,0.1398519130767874
2,3,4,4,5,0.13943636929335135
2,3.5,2,2,3,0.1652796861557933
2,3.5,2,2,3.5,0.16492421576020483
2,3.5,2,2,4,0.15970303559197907
2,3.5,2,2,4.5,0.15615603621898524
2,3.5,2,2,5,0.15381979561497655
2,3.5,2,3,3,0.17090643907104905
2,3.5,2,3,3.5,0.17075858208789418
2,3.5,2,3,4,0.16553764765132592
2,3.5,2,3,4.5,0.16202146410319385
2,3.5,2,3,5,0.1597396021217486
2,3.5,2,4,3,0.17419539954689248
2,3.5,2,4,3.5,0.17416555911486667
2,3.5,2,4,4,0.16894187654748422
2,3.5,2,4,4.5,0.1654411017493363
2,3.5,2,4,5,0.16318861498473378
2,3.5,3,2,3,0.17090643907104905
2,3.5,3,2,3.5,0.17075858208789416
2,3.5,3,2,4,0.16553764765132592
2,3.5,3,2,4.5,0.16202146410319387
2,3.5,3,2,5,0.1597396021217486
2,3.5,3,3,3,0.16827995526908404
2,3.5,3,3,3.5,0.16803294698215365
2,3.5,3,3,4,0.1627823748486389
2,3.5,3,3,4.5,0.15928889499627946
2,3.5,3,3,5,0.157051191218089
2,3.5,3,4,3,0.17144312225782307
2,3.5,3,4,3.5,0.17131432971190869
2,3.5,3,4,4,0.16606485179872169
2,3.5,3,4,4.5,0.16259088597912585
2,3.5,3,4,5,0.16038652053927108
2,3.5,4,2,3,0.17419539954689248
2,3.5,4,2,3.5,0.17416555911486672
2,3.5,4,2,4,0.1689418765474843
2,3.5,4,2,4.5,0.16544110174933632
2,3.5,4,2,5,0.1631886149847338
2,3.5,4,3,3,0.17144312225782304
2,3.5,4,3,3.5,0.17131432971190869
2,3.5,4,3,4,0.16606485179872169
2,3.5,4,3,4.5,0.1625908859791258
2,3.5,4,3,5,0.16038652053927102
2,3.5,4,4,3,0.170004383778921
2,3.5,4,4,3.5,0.16983194760658954
2,3.5,4,4,4,0.16457669629328905
2,3.5,4,4,4.5,0.1611219886810651
2,3.5,4,4,5,0.15894640369170915
3,3,2,2,3,0.20359296898573964
3,3,2,2,3.5,0.19988904258044868
3,3,2,2,4,0.19636581429155522
3,3,2,2,4.5,0.19425359966941547
3,3,2,2,5,0.19316341264914366
3,3,2,3,3,0.21055339226758354
3,3,2,3,3.5,0.20699081235104488
3,3,2,3,4,0.2035711311698634
3,3,2,3,4.5,0.2015819646388923
3,3,2,3,5,0.20062990937259856
3,3,2,4,3,0.2146214260797258
3,3,2,4,3.5,0.2111373638793413
3,3,2,4,4,0.20777454681793756
3,3,2,4,4.5,0.20585393304089045
3,3,2,4,5,0.20497944877098861
3,3,3,2,3,0.21055339226758338
3,3,3,2,3.5,0.20699081235104463
3,3,3,2,4,0.20357113116986328
3,3,3,2,4.5,0.2015819646388925
3,3,3,2,5,0.20062990937259842
3,3,3,3,3,0.20796196461562305
3,3,3,3,3.5,0.2041361234370586
3,3,3,3,4,0.20058784886970216
3,3,3,3,4.5,0.198550077101407
3,3,3,3,5,0.19759049116982957
3,3,3,4,3,0.21188795319021503
3,3,3,4,3.5,0.20814004005569448
3,3,3,4,4,0.20465053967091973
3,3,3,4,4.5,0.20268412536112793
3,3,3,4,5,0.20180522177178492
3,3,4,2,3,0.214621426079726
3,3,4,2,3.5,0.21113736387934187
3,3,4,2,4,0.2077745468179376
3,3,4,2,4.5,0.2058539330408904
3,3,4,2,5,0.20497944877098864
3,3,4,3,3,0.21188795319021522
3,3,4,3,3.5,0.20814004005569445
3,3,4,3,4,0.20465053967091948
3,3,4,3,4.5,0.20268412536112795
3,3,4,3,5,0.20180522177178467
3,3,4,4,3,0.21044954662199686
3,3,4,4,3.5,0.2065745986104381
3,3,4,4,4,0.2030279771281088
3,3,4,4,4.5,0.2010444423687981
3,3,4,4,5,0.20016834056378865
3,3.5,2,2,3,0.2397488925594464
3,3.5,2,2,3.5,0.23884346690160912
3,3.5,2,2,4,0.23093643485910575
3,3.5,2,2,4.5,0.225495381045264
3,3.5,2,2,5,0.22183660965806615
3,3.5,2,3,3,0.2477771218867855
3,3.5,2,3,3.5,0.24714880715123463
3,3.5,2,3,4,0.23922535469494427
3,3.5,2,3,4.5,0.23381322765856463
3,3.5,2,3,5,0.23021830948154773
3,3.5,2,4,3,0.25247166318078645
3,3.5,2,4,3.5,0.2520007866454601
3,3.5,2,4,4,0.2440637597007457
3,3.5,2,4,4.5,0.23866497956396002
3,3.5,2,4,5,0.23510410136020504
3,3.5,3,2,3,0.24777712188678588
3,3.5,3,2,3.5,0.24714880715123416
3,3.5,3,2,4,0.2392253546949443
3,3.5,3,2,4.5,0.23381322765856447
3,3.5,3,2,5,0.2302183094815479
3,3.5,3,3,3,0.24382852645700157
3,3.5,3,3,3.5,0.2430521516056912
3,3.5,3,3,4,0.23508760815066565
3,3.5,3,3,4.5,0.22970984752625864
3,3.5,3,3,5,0.2261799738789788
3,3.5,3,4,3,0.2483340083922536
3,3.5,3,4,3.5,0.24771499246217746
3,3.5,3,4,4,0.23974245354695778
3,3.5,3,4,4.5,0.234383999480839
3,3.5,3,4,5,0.23089391885113603
3,3.5,4,2,3,0.2524716631807865
3,3.5,4,2,3.5,0.25200078664546044
3,3.5,4,2,4,0.24406375970074554
3,3.5,4,2,4.5,0.23866497956396018
3,3.5,4,2,5,0.23510410136020515
3,3.5,4,3,3,0.24833400839225375
3,3.5,4,3,3.5,0.24771499246217743
3,3.5,4,3,4,0.2397424535469577
3,3.5,4,3,4.5,0.23438399948083866
3,3.5,4,3,5,0.23089391885113603
3,3.5,4,4,3,0.24616997307986782
3,3.5,4,4,3.5,0.24548554371809234
3,3.5,4,4,4,0.2375059356932722
3,3.5,4,4,4.5,0.23217639233258716
3,3.5,4,4,5,0.22872875355326813
4,3,2,2,3,0.2671614751731449
4,3,2,2,3.5,0.26206138550381475
4,3,2,2,4,0.2572270852549764
4,3,2,2,4.5,0.254264066795688
4,3,2,2,5,0.2526563840673878
4,3,2,3,3,0.2762115271863102
4,3,2,3,3.5,0.2712836197541782
4,3,2,3,4,0.2665734821686549
4,3,2,3,4.5,0.26376086455309256
4,3,2,3,5,0.262323897725035
4,3,2,4,3,0.28150202438329003
4,3,2,4,3.5,0.2766695446777084
4,3,2,4,4,0.27202733242192223
4,3,2,4,4.5,0.26929835490086534
4,3,2,4,5,0.2679571644910022
4,3,3,2,3,0.2762115271863102
4,3,3,2,3.5,0.27128361975417903
4,3,3,2,4,0.26657348216865473
4,3,3,2,4.5,0.2637608645530925
4,3,3,2,5,0.2623238977250349
4,3,3,3,3,0.2727237473306199
4,3,3,3,3.5,0.2674489574546871
4,3,3,3,4,0.26256979404652503
4,3,3,3,4.5,0.25969316821686894
4,3,3,3,5,0.2582460731471073
4,3,3,4,3,0.27782359774715637
4,3,3,4,3.5,0.27264334232572796
4,3,3,4,4,0.26783455925783084
4,3,3,4,4.5,0.2650452144082794
4,3,3,4,5,0.2636979482034068
4,3,4,2,3,0.2815020243832905
4,3,4,2,3.5,0.27666954467770816
4,3,4,2,4,0.2720273324219224
4,3,4,2,4.5,0.2692983549008653
4,3,4,2,5,0.2679571644910024
4,3,4,3,3,0.2778235977471565
4,3,4,3,3.5,0.2726433423257279
4,3,4,3,4,0.267834559257831
4,3,4,3,4.5,0.26504521440827894
4,3,4,3,5,0.26369794820340653
4,3,4,4,3,0.2758873724312086
4,3,4,4,3.5,0.27053988074500046
4,3,4,4,4,0.2656561757713021
4,3,4,4,4.5,0.26284438256836623
4,3,4,4,5,0.26150077354114765
4,3.5,2,2,3,0.31496124576170276
4,3.5,2,2,3.5,0.31350142283996757
4,3.5,2,2,4,0.30288200227209805
4,3.5,2,2,4.5,0.29552769425724024
4,3.5,2,2,5,0.2905324626859414
4,3.5,2,3,3,0.32541535857644516
4,3.5,2,3,3.5,0.3243026348369003
4,3.5,2,3,4,0.31364971098343414
4,3.5,2,3,4.5,0.3063221494007346
4,3.5,2,3,5,0.30140005015952054
4,3.5,2,4,3,0.33152972483730864
4,3.5,2,4,3.5,0.33061413194643097
4,3.5,2,4,4,0.3199365515638074
4,3.5,2,4,4.5,0.31262009469060287
4,3.5,2,4,5,0.3077365774131202
4,3.5,3,2,3,0.325415358576446
4,3.5,3,2,3.5,0.3243026348369002
4,3.5,3,2,4,0.313649710983434
4,3.5,3,2,4.5,0.3063221494007334
4,3.5,3,2,5,0.3014000501595206
4,3.5,3,3,3,0.32013182708696386
4,3.5,3,3,3.5,0.3188213618161843
4,3.5,3,3,4,0.3081154890099757
4,3.5,3,3,4.5,0.30083379280804406
4,3.5,3,3,5,0.29599756160500434
4,3.5,3,4,3,0.3259932025140431
4,3.5,3,4,3.5,0.3248794835534679
4,3.5,3,4,4,0.3141562652733284
4,3.5,3,4,4.5,0.3068934851672895
4,3.5,3,4,5,0.30210337649879343
4,3.5,4,2,3,0.33152972483730847
4,3.5,4,2,3.5,0.3306141319464308
4,3.5,4,2,4,0.31993655156380707
4,3.5,4,2,4.5,0.3126200946906033
4,3.5,4,2,5,0.30773657741312027
4,3.5,4,3,3,0.3259932025140426
4,3.5,4,3,3.5,0.3248794835534673
4,3.5,4,3,4,0.31415626527332785
4,3.5,4,3,4.5,0.3068934851672897
4,3.5,4,3,5,0.30210337649879393
4,3.5,4,4,3,0.3230967673744325
4,3.5,4,4,3.5,0.32189547564245596
4,3.5,4,4,4,0.31116370911654256
4,3.5,4,4,4.5,0.30393942531809065
4,3.5,4,4,5,0.2992053992638094
